Year,Final_Grade,Subjects_Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time_Allocation_Question_1,Time_Allocation_Question_2,Time_Allocation_Question_3,Reading_and_Note_Taking_Question_1,Reading_and_Note_Taking_Question_2,Reading_and_Note_Taking_Question_3,Study_Period_Procedures_Question_1,Study_Period_Procedures_Question_2,Study_Period_Procedures_Question_3,Written_Works_Question_1,Written_Works_Question_2,Written_Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3,Status
1,2.23,0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,3.0,1
1,2.2,0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0,1
3,2.5,1,4.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,1.0,0
2,2.38,0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1
1,2.59,0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,1
1,3.07,0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1
3,1.93,0,3.0,1.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,1.0,3.0,1
2,2.95,2,1.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,0
1,2.82,1,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,0
4,2.2,0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0,1
1,1.86,0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,1
3,2.39,0,4.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,3.0,1
2,2.46,0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,2.0,1
2,3.01,2,3.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,0
2,2.12,1,3.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,0
2,2.45,1,3.0,1.0,1.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,0
4,2.3,0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1
3,2.11,0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1
1,3.04,1,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0
2,1.78,0,2.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1
3,2.89,2,4.0,1.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,0
2,1.76,0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0,1
1,2.86,1,1.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0
1,2.52,0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,1
2,2.0,1,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,0
4,2.55,1,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0,0
1,2.84,0,2.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,1
4,2.85,2,1.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,0
2,2.89,1,4.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,0
2,2.27,0,1.0,1.0,4.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,1.0,1
3,2.57,1,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,0
1,2.07,0,3.0,3.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,1
1,2.8,1,2.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,0
2,1.93,0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,1
4,2.85,1,4.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,0
3,2.29,1,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,0
2,2.33,1,2.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,0
4,2.3,0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,1
1,2.09,0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,1
4,1.4,0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,1
4,1.75,0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1
4,2.15,0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,3.0,1
4,3.55,2,2.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,0
2,2.75,2,4.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,0
2,2.62,2,3.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,0
3,2.86,2,3.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,0
1,2.71,0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1
4,2.85,1,4.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,0
2,2.49,0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,1
3,3.11,1,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,1.0,0
3,2.43,0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,1
2,2.37,0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0,1
4,1.6,0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,1
3,3.25,1,3.0,1.0,4.0,1.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,0
4,1.7,0,4.0,1.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1
3,2.25,1,1.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,0
2,2.1,0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1
2,3.11,2,4.0,2.0,4.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,0
4,2.1,0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1
1,2.71,0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,1
2,2.39,1,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,0
3,3.14,2,4.0,1.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,0
1,2.29,1,1.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,1.0,2.0,0
3,2.5,0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,1
3,2.5,0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,4.0,3.0,1
3,2.0,0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,1
4,3.2,1,4.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,2.0,0
3,2.18,0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,1
3,1.79,0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,1
3,2.32,1,4.0,2.0,1.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,0
1,2.18,0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1
4,2.1,0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1
2,2.83,2,4.0,3.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,0
1,2.0,0,3.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1
3,2.04,0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,1
1,2.07,0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,1
1,2.04,0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,1
2,2.78,1,3.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,4.0,0
2,2.33,0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,1
4,2.85,1,2.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,0
4,2.2,0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,1
4,2.85,0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,1
1,2.93,0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,1
3,3.0,1,2.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,0
2,2.51,1,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,2.0,3.0,4.0,0
2,2.03,0,3.0,4.0,1.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1
4,3.1,1,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,0
1,2.52,0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,1
2,2.3,1,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,0
1,2.21,1,1.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0
3,2.5,0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,1
4,2.15,0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,1
2,1.71,0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,1
2,2.73,1,1.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,0
4,2.05,0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,1
2,2.28,0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,1
2,2.2,0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1
3,2.61,1,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,4.0,2.0,4.0,4.0,0
1,4.0,2,1.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,0
3,1.79,0,4.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1
3,2.46,1,1.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0
2,2.64,1,2.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,0
4,3.1,1,3.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0,3.0,0
1,1.98,0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,1
2,2.84,2,1.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,0
1,2.52,0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,1
4,2.65,0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,1
4,2.05,0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,1
1,4.3,3,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0,0
3,2.93,1,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,0
4,3.2,1,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,0
2,2.32,0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,1
4,2.15,0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,1.0,1
1,2.59,0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1
3,2.68,0,1.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,1.0,1
2,2.62,1,1.0,3.0,4.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,0
3,3.04,3,1.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,0
4,3.6,2,4.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0
2,2.16,1,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,0
1,2.71,1,4.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,0
2,2.46,1,4.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,0
3,2.68,2,3.0,2.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,0
3,2.36,1,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,0
3,2.32,1,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0
2,2.6,1,3.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,0
2,2.67,2,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,0
4,2.05,0,3.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,1
3,3.54,3,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,0
2,2.24,1,1.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,0
1,1.89,0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,1
4,3.1,1,3.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,0
4,3.05,1,4.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,0
4,2.8,0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1
3,2.5,1,3.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,0
1,1.79,0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,1
3,2.54,1,4.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,0
1,3.09,1,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0,3.0,2.0,0
4,2.3,0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,1
1,2.79,1,3.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,0
3,2.46,1,2.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,3.0,1.0,0
2,2.47,1,1.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,4.0,2.0,4.0,1.0,0
3,2.5,0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,1
3,1.93,0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,1
4,3.05,0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,1
3,2.25,1,3.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,0
4,1.8,0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,1
2,2.68,1,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0
4,3.0,1,1.0,3.0,4.0,2.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,0
4,2.3,1,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,0
2,3.17,3,4.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0,0
4,2.3,0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,1
2,1.8,0,3.0,1.0,4.0,4.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,4.0,2.0,4.0,1
3,2.46,1,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,0
4,3.1,2,1.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,0
2,2.22,0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1
2,2.93,2,4.0,3.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,0
4,3.85,3,3.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0
3,2.54,0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1
2,2.62,0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1
1,2.41,0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,1
1,2.68,0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,1
4,2.15,0,3.0,3.0,2.0,4.0,4.0,1.0,4.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.0,4.0,1
1,2.5,0,3.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,1.0,1
4,2.95,1,4.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,4.0,1.0,0
4,1.8,0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1
1,1.7,0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,1
1,2.91,2,3.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,0
